origin,destination,herb_road,herb_rail,wood_road,wood_rail
6021,45,219.469,255.943,254.02,255.943
6023,9,436.991,337.665,381.391,644.001
6023,10,418.51,394.514,333.531,756.592
6023,11,444.873,281.694,359.894,644.001
6023,12,654.746,337.665,568.072,500.378
6023,13,710.048,337.665,623.374,500.378
6023,14,424.794,337.665,340.106,756.592
6023,15,481.699,281.694,396.72,644.001
6023,16,488.587,435.731,433.123,500.378
6023,17,423.837,513.449,338.858,875.757
6023,18,499.215,587.639,414.237,949.947
6023,19,441.401,509.325,356.422,945.024
6023,20,478.339,218.998,393.361,592.588
6023,21,486.354,0.0,470.185,0.0
6023,22,495.302,0.0,479.133,0.0
6023,23,409.303,0.0,393.134,0.0
6023,24,442.568,0.0,426.399,0.0
6023,25,435.7,0.0,419.531,0.0
6023,26,454.305,0.0,438.136,0.0
6023,27,427.211,152.579,342.233,588.279
6023,28,473.466,0.0,457.297,0.0
6023,29,253.127,0.0,175.278,0.0
6023,30,389.333,0.0,373.164,0.0
6023,31,463.126,0.0,446.957,0.0
6023,32,450.2,0.0,434.031,0.0
6023,33,345.042,0.0,328.874,0.0
6023,34,521.254,890.688,430.373,1246.72
6023,35,30.9904,0.0,108.839,0.0
6023,36,208.453,0.0,192.284,0.0
6023,37,277.87,0.0,355.719,0.0
6023,38,531.201,0.0,411.385,500.378
6023,39,433.064,616.706,348.085,1052.41
6023,40,428.909,890.398,343.931,1252.71
6023,41,518.251,587.639,433.272,949.947
6023,42,504.237,334.612,419.258,770.312
6023,43,484.67,334.612,399.691,770.312
6023,44,435.09,503.392,350.111,865.699
6023,45,433.303,394.514,348.325,756.592
6025,9,71.4852,787.46,83.0634,725.026
6025,10,53.0048,730.611,43.7444,725.026
6025,11,79.3674,839.534,70.107,833.949
6025,12,289.241,787.46,311.93,725.026
6025,13,369.373,533.589,360.113,528.004
6025,14,59.5792,730.611,50.3187,725.026
6025,15,116.193,839.534,106.933,833.949
6025,16,123.082,1215.12,143.335,1255.5
6025,17,58.3316,607.779,49.0711,602.194
6025,18,133.71,533.589,172.246,255.646
6025,19,75.8955,749.284,66.6351,743.699
6025,20,112.834,902.23,103.574,896.645
6025,21,106.42,1215.12,143.824,1255.5
6025,22,138.003,902.23,128.742,896.645
6025,23,158.048,1215.12,195.451,1255.5
6025,24,191.772,902.23,182.511,896.645
6025,25,181.485,1484.04,170.493,1477.95
6025,26,151.209,902.23,141.949,896.645
6025,27,68.2472,902.23,58.9867,896.645
