origin,destination,km,km_road,km_rail,km_pipe
15,15,912.762,91.9399,349.685,415.83
15,16,106.304,106.25,0.0,0.0
15,17,306.626,91.9399,62.6963,141.082
15,18,286.895,91.9399,62.6963,125.204
15,19,227.308,91.9399,62.6963,65.1223
15,20,685.289,407.877,62.6963,206.425
15,21,258.698,91.9399,62.6963,96.6067
15,22,260.136,91.9399,62.6963,98.1307
15,23,959.292,91.9399,349.685,474.95
15,24,169.783,91.9399,62.6963,3.89205
15,25,288.264,91.9399,62.6963,125.846
15,26,259.445,91.9399,62.6963,97.6298
15,27,906.097,91.9399,349.685,420.747
15,28,596.353,91.9399,62.6963,409.327
15,29,923.54,91.9399,349.685,439.305
15,30,969.816,91.9399,349.685,485.367
15,31,287.183,91.9399,62.6963,125.428
15,32,260.12,91.9399,62.6963,98.1307
15,33,911.88,91.9399,349.685,426.061
15,34,690.095,180.68,62.6963,409.327
15,35,579.119,91.9399,62.6963,409.327
15,36,263.831,91.9399,62.6963,98.9128
15,37,937.004,91.9399,349.685,446.257
15,38,931.911,91.9399,349.685,436.675
15,39,260.068,91.9399,62.6963,97.6941
15,40,305.727,91.9399,62.6963,138.735
15,41,368.129,91.9399,62.6963,206.425
15,42,420.465,91.9399,62.6963,258.816
15,43,1055.74,91.9399,349.685,570.091
15,44,926.652,91.9399,349.685,437.937
15,45,304.588,91.9399,62.6963,141.082
15,46,236.648,91.9399,62.6963,68.4158
15,47,1221.8,91.9399,349.685,729.836
15,48,969.944,91.9399,349.685,485.013
15,49,1095.24,91.9399,349.685,609.128
15,50,906.064,91.9399,349.685,421.195
15,51,909.881,91.9399,349.685,421.492
15,52,157.163,91.9863,62.6963,0.0
15,53,221.318,91.9399,62.6963,53.5796
15,54,259.655,91.9399,62.6963,96.6445
15,55,913.711,91.9399,349.685,426.048
15,56,913.345,91.9399,349.685,426.061
15,57,260.45,91.9399,62.6963,98.1307
15,58,232.207,91.9399,62.6963,70.4519
15,59,288.134,91.9399,62.6963,125.706
15,60,304.227,91.9399,62.6963,141.082
15,61,169.536,91.9399,62.6963,3.99282
15,62,908.555,91.9399,349.685,422.531
15,63,974.375,91.9399,349.685,485.573
15,64,963.36,91.9399,349.685,446.257
15,65,904.105,91.9399,349.685,414.573
15,66,233.594,91.9399,62.6963,70.2771
15,67,906.952,91.9399,349.685,420.137
15,68,216.303,91.9399,62.6963,47.1117
15,69,579.926,91.9399,62.6963,409.327
