origin,destination,herb_road,herb_rail,wood_road,wood_rail
6017,2,308.612,677.068,328.333,677.068
6017,3,146.876,219.741,166.597,219.741
6017,4,206.204,110.074,242.878,67.9239
6017,5,141.49,0.0,161.211,0.0
6017,6,173.389,368.641,193.11,368.641
6017,7,206.277,0.0,186.556,0.0
6017,8,201.322,0.0,221.043,0.0
6017,46,139.091,284.394,158.812,284.394
6017,47,139.091,252.902,158.812,252.902
6017,48,139.091,294.451,158.812,294.451
6017,49,139.091,902.23,158.812,902.23
6017,50,139.091,896.645,158.812,896.645
6017,51,139.091,175.516,158.812,175.516
6017,52,139.091,0.0,158.812,0.0
6017,53,139.091,671.69,158.812,671.69
6017,54,139.091,219.741,158.812,219.741
6017,55,139.091,394.453,158.812,394.453
6017,56,139.091,62.6963,158.812,62.6963
6017,57,139.091,218.998,158.812,218.998
6017,58,139.091,368.641,158.812,368.641
6017,59,139.091,668.403,158.812,668.403
6017,60,139.091,671.4,158.812,671.4
6017,61,139.091,107.752,158.812,107.752
6017,62,139.091,87.5869,158.812,87.5869
6017,63,139.091,669.478,158.812,669.478
6017,64,139.091,671.189,158.812,671.189
6017,65,139.091,501.835,158.812,501.835
6017,66,139.091,368.641,158.812,368.641
6017,67,139.091,655.63,158.812,655.63
6017,68,139.091,661.635,158.812,661.635
6017,69,139.091,368.641,158.812,368.641
6017,70,139.091,71.5606,158.812,71.5606
6017,71,139.091,67.9239,158.812,67.9239
6017,72,139.091,669.737,158.812,669.737
6017,73,139.091,80.4269,158.812,80.4269
6017,74,139.091,670.228,158.812,670.228
6017,75,139.091,673.025,158.812,673.025
6019,1,180.715,468.523,286.156,412.511
6019,2,201.835,473.901,313.179,424.166
6019,3,50.875,360.404,137.112,360.404
6019,4,110.204,284.431,213.394,243.44
6019,5,55.7075,175.516,141.945,175.516
6019,6,66.6121,165.474,177.956,115.739
6019,7,96.0827,488.182,228.984,534.142
6019,8,259.112,175.516,345.349,175.516
6019,46,32.3143,0.0,129.328,112.775
6019,47,32.3143,57.4519,143.658,0.0
6019,48,32.3143,98.2275,143.658,41.549
6019,49,32.3143,699.063,143.658,649.328
6019,50,32.3143,693.478,143.658,643.743
6019,51,43.0907,0.0,129.328,0.0
6019,52,43.0907,175.516,129.328,175.516
6019,53,32.3143,468.523,143.658,418.788
6019,54,43.0907,360.404,129.328,360.404
6019,55,43.0907,535.117,129.328,535.117
6019,56,43.0907,139.03,129.328,139.03
6019,57,43.0907,394.514,129.328,394.514
6019,58,32.3143,165.474,143.658,115.739
6019,59,32.3143,465.236,143.658,415.501
6019,60,32.3143,468.232,143.658,418.497
6019,61,43.0907,283.268,129.328,283.268
6019,62,43.0907,263.103,129.328,263.103
6019,63,32.3143,466.311,143.658,416.576
6019,64,32.3143,468.022,143.658,418.287
6019,65,32.3143,668.503,129.328,642.498
6019,66,32.3143,165.474,143.658,115.739
6019,67,32.3143,452.463,143.658,402.728
6019,68,32.3143,458.468,143.658,408.733
6019,69,32.3143,165.474,143.658,115.739
6019,70,43.0907,247.077,129.328,247.077
6019,71,43.0907,243.44,129.328,243.44
6019,72,32.3143,466.57,143.658,416.835
6019,73,43.0907,255.943,129.328,255.943
6019,74,32.3143,467.06,143.658,417.325
6019,75,32.3143,469.858,143.658,420.123
6021,1,324.78,752.117,353.427,745.84
6021,2,345.899,757.495,380.45,757.495
6021,3,184.163,196.041,218.713,196.041
6021,4,243.491,55.7112,294.994,14.0081
6021,5,188.995,80.4269,223.546,80.4269
6021,6,210.676,449.068,245.227,449.068
6021,7,272.858,0.0,303.513,0.0
6021,8,62.4537,0.0,93.1087,0.0
6021,46,176.379,364.821,210.929,364.821
6021,47,176.379,333.329,210.929,333.329
6021,48,176.379,374.878,210.929,374.878
6021,49,176.379,982.657,210.929,982.657
6021,50,176.379,977.072,210.929,977.072
6021,51,176.379,255.943,210.929,255.943
6021,52,176.379,80.4269,210.929,80.4269
6021,53,176.379,752.117,210.929,752.117
6021,54,176.379,196.041,210.929,196.041
6021,55,176.379,370.754,210.929,370.754
6021,56,176.379,143.123,210.929,143.123
6021,57,176.379,144.839,210.929,144.839
6021,58,176.379,449.068,210.929,449.068
6021,59,176.379,748.83,210.929,748.83
6021,60,176.379,751.827,210.929,751.827
6021,61,176.379,43.9171,210.929,43.9171
6021,62,176.379,23.0594,210.929,23.0594
6021,63,176.379,749.905,210.929,749.905
6021,64,176.379,751.616,210.929,751.616
6021,65,176.379,478.135,210.929,478.135
6021,66,176.379,449.068,210.929,449.068
6021,67,176.379,736.057,210.929,736.057
6021,68,176.379,742.062,210.929,742.062
6021,69,176.379,449.068,210.929,449.068
6021,70,176.379,8.86628,210.929,8.86628
6021,71,176.379,14.0081,210.929,14.0081
6021,72,176.379,750.164,210.929,750.164
6021,73,176.379,0.0,210.929,0.0
6021,74,176.379,750.655,210.929,750.655
6021,75,176.379,753.452,210.929,753.452
6023,1,538.614,890.688,447.732,1246.72
6023,2,559.733,896.066,474.755,1258.37
6023,3,397.997,334.612,313.018,770.312
6023,4,457.325,194.282,389.299,588.279
6023,5,402.829,218.998,317.85,592.588
6023,6,424.51,587.639,339.532,949.947
6023,7,494.765,0.0,478.596,0.0
6023,8,320.667,0.0,304.498,0.0
6023,46,390.212,503.392,305.234,865.699
6023,47,390.212,471.9,305.234,834.208
6023,48,390.212,513.449,305.234,875.757
6023,49,390.212,1121.23,305.234,1483.54
6023,50,390.212,1115.64,305.234,1477.95
6023,51,390.212,394.514,305.234,756.592
6023,52,390.212,218.998,305.234,592.588
6023,53,390.212,890.688,305.234,1253.0
6023,54,390.212,334.612,305.234,770.312
6023,55,390.212,509.325,305.234,945.024
6023,56,390.212,281.694,305.234,644.001
6023,57,390.212,0.0,305.234,678.148
6023,58,390.212,587.639,305.234,949.947
6023,59,390.212,887.401,305.234,1249.71
6023,60,390.212,890.398,305.234,1252.71
6023,61,390.212,182.488,305.234,618.188
6023,62,390.212,161.63,305.234,597.33
6023,63,390.212,888.476,305.234,1250.78
6023,64,390.212,890.187,305.234,1252.49
6023,65,390.212,616.706,305.234,1052.41
6023,66,390.212,587.639,305.234,949.947
6023,67,390.212,874.628,305.234,1236.94
6023,68,390.212,880.633,305.234,1242.94
6023,69,390.212,587.639,305.234,949.947
6023,70,390.212,147.437,305.234,583.137
6023,71,390.212,152.579,305.234,588.279
6023,72,390.212,888.735,305.234,1251.04
6023,73,390.212,144.839,305.234,580.539
6023,74,390.212,889.226,305.234,1251.53
6023,75,390.212,892.023,305.234,1254.33
6025,1,138.036,0.0,121.798,0.0
6025,2,198.003,0.0,217.846,0.0
6025,3,32.4914,941.686,23.231,936.101
6025,4,94.3136,941.686,85.0532,936.101
6025,5,37.3239,902.23,28.0634,896.645
6025,6,59.0049,533.589,49.7445,528.004
6025,7,77.6992,1215.12,115.103,1255.5
6025,8,240.728,902.23,231.468,896.645
6025,46,24.7072,699.063,15.4467,693.478
6025,47,24.7072,649.328,15.4467,643.743
6025,48,24.7072,607.779,15.4467,602.194
6025,49,24.7072,0.0,21.0074,0.0
6025,50,31.6846,0.0,15.4467,0.0
6025,51,24.7072,730.611,15.4467,725.026
6025,52,24.7072,902.23,15.4467,896.645
6025,53,24.7072,267.508,15.4467,261.923
6025,54,24.7072,941.686,15.4467,936.101
6025,55,24.7072,749.284,15.4467,743.699
6025,56,24.7072,839.534,15.4467,833.949
6025,57,24.7072,1121.23,15.4467,1115.64
6025,58,24.7072,533.589,15.4467,528.004
6025,59,24.7072,355.13,15.4467,349.545
6025,60,24.7072,358.599,15.4467,353.014
6025,61,24.7072,1009.98,15.4467,1004.4
6025,62,24.7072,989.817,15.4467,984.232
6025,63,24.7072,356.205,15.4467,350.62
6025,64,24.7072,358.388,15.4467,352.803
6025,65,24.7072,655.662,15.4467,650.077
6025,66,24.7072,533.589,15.4467,528.004
6025,67,24.7072,335.242,15.4467,329.658
6025,68,24.7072,343.752,15.4467,338.167
6025,69,24.7072,533.589,15.4467,528.004
6025,70,24.7072,973.791,15.4467,968.206
6025,71,24.7072,970.154,15.4467,964.569
6025,72,24.7072,356.464,15.4467,350.879
6025,73,24.7072,982.657,15.4467,977.072
6025,74,24.7072,356.954,15.4467,351.37
6025,75,24.7072,359.752,15.4467,354.167
6027,1,490.942,0.0,444.254,0.0
6027,2,536.919,0.0,490.231,0.0
6027,3,318.024,550.309,271.336,550.309
6027,4,377.353,474.335,347.618,436.565
6027,5,322.857,368.641,276.169,368.641
6027,6,341.488,0.0,294.801,0.0
6027,7,363.232,681.536,449.793,0.0
6027,8,526.261,368.641,479.573,368.641
6027,46,310.24,165.474,263.552,165.474
6027,47,310.24,115.739,263.552,115.739
6027,48,310.24,74.1901,263.552,74.1901
6027,49,310.24,533.589,263.552,533.589
6027,50,310.24,528.004,263.552,528.004
6027,51,310.24,197.022,263.552,197.022
6027,52,310.24,368.641,263.552,368.641
6027,53,366.925,0.0,316.924,6.84912
6027,54,310.24,550.309,263.552,550.309
6027,55,310.24,596.65,263.552,596.65
6027,56,310.24,305.945,263.552,305.945
6027,57,310.24,587.639,263.552,587.639
6027,58,310.24,0.0,263.552,0.0
6027,59,310.24,299.762,263.552,299.762
6027,60,310.24,302.758,263.552,302.758
6027,61,310.24,476.393,263.552,476.393
6027,62,310.24,456.228,263.552,456.228
6027,63,310.24,300.837,263.552,300.837
6027,64,310.24,302.548,263.552,302.548
6027,65,310.24,503.029,263.552,503.029
6027,66,310.24,0.0,263.552,0.0
6027,67,310.24,286.989,263.552,286.989
6027,68,310.24,292.994,263.552,292.994
6027,69,310.24,0.0,263.552,0.0
6027,70,310.24,440.202,263.552,440.202
6027,71,310.24,436.565,263.552,436.565
