origin,destination,km,km_road,km_rail,km_pipe
5,39,118.79,9.8301,0.0,101.586
5,40,164.449,9.8301,0.0,142.627
5,41,219.067,9.8301,0.0,202.533
5,42,279.187,9.8301,0.0,262.708
5,43,914.46,9.8301,286.989,573.983
5,44,785.374,9.8301,286.989,441.829
5,45,163.309,9.8301,0.0,144.974
5,46,87.5856,9.8301,0.0,64.5237
5,47,1080.52,9.8301,286.989,733.728
5,48,828.666,9.8301,286.989,488.905
5,49,953.965,9.8301,286.989,613.02
5,50,764.786,9.8301,286.989,425.087
5,51,768.603,9.8301,286.989,425.384
5,52,24.6947,9.8301,0.0,3.83381
5,53,80.04,9.8301,0.0,57.4717
5,54,118.377,9.8301,0.0,100.537
5,55,772.433,9.8301,286.989,429.94
5,56,772.067,9.8301,286.989,429.953
5,57,119.172,9.8301,0.0,102.023
5,58,90.9291,9.8301,0.0,74.344
5,59,139.072,9.8301,0.0,121.814
5,60,162.948,9.8301,0.0,144.974
5,61,12.5536,10.3027,0.0,0.0
5,62,767.276,9.8301,286.989,426.423
5,63,833.097,9.8301,286.989,489.465
5,64,822.081,9.8301,286.989,450.149
5,65,762.827,9.8301,286.989,418.465
5,66,92.3161,9.8301,0.0,74.1691
5,67,765.673,9.8301,286.989,424.029
5,68,67.2408,9.8301,0.0,43.2197
5,69,438.647,9.8301,0.0,413.219
5,70,787.264,9.8301,286.989,443.129
5,71,771.544,9.8301,286.989,429.26
5,72,771.75,9.8301,286.989,428.082
5,73,768.688,9.8301,286.989,424.755
5,74,194.643,40.635,0.0,144.974
5,75,142.69,13.322,0.0,121.814
5,76,12.3831,10.1351,0.0,0.0
5,77,119.015,9.89324,0.0,102.023
5,78,539.266,329.275,0.0,202.533
5,79,930.525,15.7763,286.989,584.61
5,80,138.456,28.6387,0.0,102.023
5,81,171.991,16.9906,0.0,142.627
5,82,773.375,11.1183,286.989,428.082
5,83,772.892,9.8301,286.989,429.94
5,84,893.728,85.3035,286.989,450.149
5,85,99.9175,18.0632,0.0,73.6521
6,1,386.232,19.1426,286.989,13.1462
6,2,462.29,19.1426,0.0,409.327
6,3,447.711,19.1426,286.989,75.6846
6,4,362.92,19.9089,286.989,0.0
6,5,543.391,19.1426,286.989,171.346
6,6,381.918,19.1426,286.989,5.8074
6,7,387.048,19.1426,286.989,11.6946
6,8,375.365,19.1426,286.989,3.22085
6,9,387.048,19.1426,286.989,11.6946
6,10,394.221,19.1426,286.989,21.4268
6,11,414.852,19.1426,286.989,30.6073
6,12,543.523,19.1426,286.989,171.391
6,13,437.167,19.1426,286.989,36.9302
6,14,409.108,19.1426,286.989,25.0723
6,15,390.464,19.1426,286.989,6.50326
6,16,400.853,19.1426,0.0,343.726
6,17,542.299,19.1426,0.0,489.726
6,18,553.21,19.1426,0.0,504.491
6,19,462.981,19.1426,0.0,413.767
6,20,981.643,335.08,0.0,615.752
6,21,494.371,19.1426,0.0,445.251
